farmacia,url,nome,marca,ean_gtin,preco_de,preco_por,desconto_pct,preco_cartao,data_coleta
FarmaPonte,https://www.farmaponte.com.br/glifage-xr-500mg-caixa-com-30-comprimidos-de-acao-prolongada/p,"Glifage Xr 500Mg, Caixa Com 30 Comprimidos De Acao Prolongada",Merck,7891721201806,12.2,8.81,27.79,8.99,2026-05-04 13:26:59
FarmaPonte,https://www.farmaponte.com.br/cocyntal-3333mg-3333mg-3333mg-10-flaconetes-com-1ml-de-solucao-de-uso-oral/p,"Cocyntal 3,333mg + 3,333mg + 3,333mg, 10 Flaconetes Com 1mL De Solucao De Uso Oral",Boiron,7898927111274,110.0,88.19,19.83,89.99,2026-05-04 13:27:02
FarmaPonte,https://www.farmaponte.com.br/sildenafila-50mg-4cpr-neo/p,Sildenafila 50mg Genérico Neo Química 4 Comprimidos Revestidos,Neo Química,7896714226705,34.3,9.49,72.33,9.68,2026-05-04 13:27:06
FarmaPonte,https://www.farmaponte.com.br/venocel-100mg-caixa-com-30-capsulas-gelatinosas/p,"Venocel 100Mg, Caixa Com 30 Capsulas Gelatinosas",Cifarma,7898495605960,27.23,17.05,10.0,17.4,2026-05-04 13:27:10
FarmaPonte,https://www.farmaponte.com.br/clortalidona-ems-25mg-caixa-com-60-comprimidos/p,"Clortalidona Ems 25Mg, Caixa Com 60 Comprimidos",EMS,7896004706368,37.88,30.44,19.64,31.06,2026-05-04 13:27:14
FarmaPonte,https://www.farmaponte.com.br/suplemento-calceos-kids-morango-200ml/p,"Suplemento Calceos Kids Cereja, 200Ml",Myralis,7898430194467,78.21,68.98,11.8,70.39,2026-05-04 13:27:17
FarmaPonte,https://www.farmaponte.com.br/sinvastatina-ems-20mg-caixa-com-30-comprimidos-revestidos/p,"Sinvastatina Ems 20Mg, Caixa Com 30 Comprimidos Revestidos",EMS,7896004710761,53.83,10.74,80.05,11.93,2026-05-04 13:27:21
FarmaPonte,https://www.farmaponte.com.br/expec-04mgml-20mgml-4mgml-6mgml-caixa-com-1-frasco-com-120ml-de-xarope/p,"Expec 0,4Mg Ml + 20Mg Ml + 4Mg Ml + 6Mg Ml, Caixa Com 1 Frasco Com 120Ml De Xarope",Legrand,,53.82,25.8,52.06,31.08,2026-05-04 13:27:25
FarmaPonte,https://www.farmaponte.com.br/ciprofibrato-biolab-genericos-100mg-caixa-com-30-comprimidos/p,"Ciprofibrato Biolab Genericos 100Mg, Caixa Com 30 Comprimidos",Biolab Genéricos,7896112401193,63.3,41.56,34.34,42.41,2026-05-04 13:27:27
FarmaPonte,https://www.farmaponte.com.br/kollagenase-06ug-caixa-com-1-bisnaga-com-30g-de-pomada-de-uso-dermatologico-espatula/p,"Kollagenase 0,6U G, Caixa Com 1 Bisnaga Com 30G De Pomada De Uso Dermatologico + Espatula",Laboratório Cristália,7896676427745,76.63,69.09,9.84,70.5,2026-05-04 13:27:30
FarmaPonte,https://www.farmaponte.com.br/niquitin-14mg-7adesivos/p,NiQuitin Nicotina 14mg 7 Adesivos,Mappel Indústria de Embalagens,7898928257025,133.12,122.63,7.88,62.57,2026-05-04 13:27:33
FarmaPonte,https://www.farmaponte.com.br/sal-amargo-farmax-30gr/p,Sal Amargo Farmax 30 Gramas,Farmax,7896902206458,4.0,4.0,0.0,4.0,2026-05-04 13:27:36
